iSE_pos0_x,iSE_pos0_y,iSE_pos1_x,iSE_pos1_y,iSE_pos2_x,iSE_pos2_y,iSE_pos3_x,iSE_pos3_y,iSE_pos4_x,iSE_pos4_y,Goal_pos0_x,Goal_pos0_y,Goal_pos1_x,Goal_pos1_y,Goal_pos2_x,Goal_pos2_y,Goal_pos3_x,Goal_pos3_y,Goal_pos4_x,Goal_pos4_y,Goal_goal_x,Goal_goal_y
5.105253,4.496226,5.146719,4.335598,5.182084,4.142722,5.144171,4.006823,0.040096,-0.006405,5.024838,4.067657,4.950339,4.018401,4.875371,3.968643,4.799961,3.918399,-0.191270,-0.195292,0.436524,0.235410
5.005110,4.027129,5.045855,4.133288,5.115055,4.142120,5.166887,4.049864,0.040034,-0.006785,4.985264,3.884781,4.918176,3.850138,4.850255,3.814295,4.781534,3.777278,-0.190522,-0.193768,0.473877,0.311585
5.105781,4.192567,5.081219,4.193186,5.086428,4.221813,5.134529,4.184609,0.040113,-0.006613,5.040706,4.046525,4.975131,4.005387,4.908660,3.963393,4.841326,3.920562,-0.190452,-0.194611,0.477416,0.269464
5.301406,4.539204,5.228371,4.406893,5.146572,4.307443,5.117797,4.276654,0.040238,-0.006395,5.155870,4.297756,5.088218,4.244944,5.019779,4.191848,4.950584,4.138479,-0.190783,-0.195993,0.460870,0.200365
5.376977,4.238415,5.334948,4.285823,5.246253,4.271813,5.155155,4.242605,0.040271,-0.006650,5.220106,4.187178,5.153423,4.144253,5.085916,4.100589,5.017616,4.056201,-0.190766,-0.194927,0.461720,0.253666
5.435489,4.177626,5.412374,4.233713,5.353819,4.283316,5.255311,4.270609,0.040307,-0.006655,5.282870,4.196472,5.217217,4.156216,5.150704,4.115116,5.083359,4.073190,-0.190746,-0.194712,0.462720,0.264385
5.428845,3.831244,5.425173,3.961062,5.406874,4.118257,5.351179,4.227894,0.040297,-0.006867,5.303761,4.003176,5.241523,3.977175,5.178281,3.949705,5.114066,3.920793,-0.190460,-0.193199,0.476989,0.340068
5.444039,4.143334,5.436373,4.081821,5.429186,4.094653,5.408801,4.182387,0.040304,-0.006624,5.326262,4.142658,5.267263,4.111604,5.207131,4.079348,5.145897,4.045912,-0.190209,-0.193945,0.489545,0.302767
5.566091,4.458862,5.521970,4.323760,5.477921,4.178013,5.449132,4.140831,0.040379,-0.006451,5.403067,4.304027,5.344163,4.266783,5.284142,4.228642,5.223035,4.189623,-0.190332,-0.194796,0.483407,0.260206
5.772571,4.416483,5.690398,4.396989,5.588243,4.290773,5.509738,4.162176,0.040496,-0.006510,5.535803,4.311380,5.473864,4.276663,5.410960,4.240965,5.347119,4.204301,-0.190816,-0.194609,0.459214,0.269557
5.725520,4.604098,5.717408,4.554982,5.660988,4.470830,5.574124,4.326224,0.040445,-0.006381,5.546019,4.454996,5.487875,4.415208,5.428618,4.374683,5.368276,4.333434,-0.190489,-0.195316,0.475535,0.234200
5.231864,4.705330,5.400258,4.650488,5.543993,4.579715,5.577729,4.482705,0.040144,-0.006338,5.299920,4.556184,5.259495,4.513747,5.217223,4.470705,5.173142,4.427068,-0.188545,-0.195715,0.572759,0.214264
5.394020,5.016450,5.401363,4.891342,5.490628,4.749662,5.587382,4.627331,0.040299,-0.006168,5.348859,4.779180,5.309755,4.727545,5.268790,4.675706,5.226002,4.623669,-0.188611,-0.196873,0.569434,0.156332
5.737161,4.654258,5.608304,4.729157,5.515612,4.738167,5.545484,4.676116,0.040492,-0.006427,5.487709,4.664144,5.445046,4.621651,5.400714,4.578578,5.354745,4.534936,-0.189259,-0.195812,0.537039,0.209385
5.738261,4.787513,5.697363,4.782275,5.587085,4.797412,5.505423,4.770940,0.040457,-0.006313,5.487668,4.778927,5.448887,4.733149,5.408315,4.686939,5.365985,4.640307,-0.188999,-0.196275,0.550063,0.186237
5.502332,4.803455,5.588593,4.784096,5.617563,4.780453,5.548767,4.796538,0.040325,-0.006316,5.377893,4.818782,5.348670,4.773731,5.317309,4.728229,5.283846,4.682286,-0.188070,-0.196241,0.596501,0.187973
5.662850,5.011337,5.646399,4.935593,5.665407,4.854549,5.654447,4.814284,0.040450,-0.006201,5.444153,4.956564,5.415055,4.907101,5.383865,4.857376,5.350619,4.807394,-0.188317,-0.196828,0.584138,0.158590
5.716879,5.006163,5.678462,4.985884,5.654723,4.922022,5.669404,4.848033,0.040464,-0.006223,5.453314,5.001836,5.427264,4.952843,5.399053,4.903576,5.368713,4.854038,-0.188205,-0.196804,0.589732,0.159823
6.067085,4.641445,5.940348,4.764310,5.797615,4.856930,5.711941,4.860098,0.040654,-0.006429,5.625631,4.860768,5.594149,4.821807,5.560770,4.782183,5.525525,4.741906,-0.189134,-0.195616,0.543292,0.219187
6.307944,4.723340,6.190941,4.742456,6.006388,4.818169,5.829328,4.882794,0.040759,-0.006344,5.783290,4.897321,5.747203,4.859121,5.709445,4.820246,5.670040,4.780703,-0.189932,-0.195605,0.503391,0.219728
6.419151,4.497534,6.353799,4.564033,6.215391,4.657513,6.018129,4.777377,0.040797,-0.006477,5.908783,4.765119,5.869784,4.736191,5.829265,4.706247,5.787250,4.675301,-0.190497,-0.194553,0.475142,0.272353
6.347118,4.715731,6.353382,4.671792,6.318730,4.656949,6.198549,4.702135,0.040743,-0.006333,5.952311,4.831688,5.914550,4.801846,5.875258,4.771050,5.834458,4.739311,-0.190535,-0.194792,0.473268,0.260419
5.966355,5.006489,6.091331,4.896680,6.216994,4.768276,6.253229,4.703286,0.040534,-0.006185,5.825769,4.951680,5.797678,4.918260,5.767727,4.884046,5.735941,4.849048,-0.189535,-0.195351,0.523249,0.232437
6.325387,5.098549,6.246120,5.039349,6.240507,4.914201,6.288638,4.776691,0.040760,-0.006158,6.005105,5.012758,5.971315,4.978732,5.935923,4.943955,5.898951,4.908436,-0.190471,-0.195525,0.476465,0.223741
6.679322,5.307539,6.520498,5.230409,6.350158,5.109660,6.290474,4.947970,0.040916,-0.006053,6.199236,5.146950,6.159097,5.108716,6.117631,5.069907,6.074857,5.030530,-0.191455,-0.196138,0.427253,0.193075
6.727680,5.065493,6.669121,5.117515,6.515059,5.129083,6.347545,5.060994,0.040908,-0.006203,6.294524,5.082991,6.252967,5.050308,6.210167,5.016861,6.166140,4.982659,-0.191796,-0.195525,0.410186,0.223773
